bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.075407,7.222583,32317690,32317690,32.015914,35.796268,0.678122,0.996902
200,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,5.353125,5.369339,32317690,32317690,48.297308,48.151459,0.482244,0.999998
300,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,5.366103,5.666235,32317690,32317690,48.180497,45.628448,0.312696,0.999260
400,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.742559,5.651764,32317690,32317690,38.344718,45.745281,0.210225,0.992314
500,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.520365,5.896668,32317690,32317690,39.651391,43.845357,0.166993,0.997483
600,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.552054,6.014689,32317690,32317690,39.459614,42.985016,0.137408,0.998175
700,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.160788,7.004880,32317690,32317690,41.965657,36.908772,0.112678,0.995906
800,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.390773,6.451174,32317690,32317690,40.455436,40.076660,0.100665,0.999978
900,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.889139,6.259897,32317690,32317690,37.528858,41.301240,0.087589,0.997715
1000,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.116987,6.129704,32317690,32317690,42.266155,42.178467,0.084445,0.999999